id,assetName,spriteName,numIndex,numX,numY
0,floor0,fantasy_world_autofloor_0,0,0,0
1,floor0,fantasy_world_autofloor_1,1,1,0
2,floor0,fantasy_world_autofloor_2,2,2,0
3,floor0,fantasy_world_autofloor_3,3,3,0
4,floor0,fantasy_world_autofloor_4,4,4,0
5,floor0,fantasy_world_autofloor_5,5,5,0
6,floor0,fantasy_world_autofloor_6,6,6,0
7,floor0,fantasy_world_autofloor_7,7,7,0
8,floor0,fantasy_world_autofloor_8,8,8,0
9,floor1,fantasy_world_autofloor_9,0,0,1
10,floor1,fantasy_world_autofloor_10,1,1,1
11,floor1,fantasy_world_autofloor_11,2,2,1
12,floor1,fantasy_world_autofloor_12,3,3,1
13,floor1,fantasy_world_autofloor_13,4,4,1
14,floor1,fantasy_world_autofloor_14,5,5,1
15,floor1,fantasy_world_autofloor_15,6,6,1
16,floor1,fantasy_world_autofloor_16,7,7,1
17,floor1,fantasy_world_autofloor_17,8,8,1
18,floor2,fantasy_world_autofloor_18,0,0,2
19,floor2,fantasy_world_autofloor_19,1,1,2
20,floor2,fantasy_world_autofloor_20,2,2,2
21,floor2,fantasy_world_autofloor_21,3,3,2
22,floor2,fantasy_world_autofloor_22,4,4,2
23,floor2,fantasy_world_autofloor_23,5,5,2
24,floor2,fantasy_world_autofloor_24,6,6,2
25,floor2,fantasy_world_autofloor_25,7,7,2
26,floor2,fantasy_world_autofloor_26,8,8,2
27,floor3,fantasy_world_autofloor_27,0,0,3
28,floor3,fantasy_world_autofloor_28,1,1,3
29,floor3,fantasy_world_autofloor_29,2,2,3
30,floor3,fantasy_world_autofloor_30,3,3,3
31,floor3,fantasy_world_autofloor_31,4,4,3
32,floor3,fantasy_world_autofloor_32,5,5,3
33,floor3,fantasy_world_autofloor_33,6,6,3
34,floor3,fantasy_world_autofloor_34,7,7,3
35,floor3,fantasy_world_autofloor_35,8,8,3
36,floor4,fantasy_world_autofloor_36,0,0,4
37,floor4,fantasy_world_autofloor_37,1,1,4
38,floor4,fantasy_world_autofloor_38,2,2,4
39,floor4,fantasy_world_autofloor_39,3,3,4
40,floor4,fantasy_world_autofloor_40,4,4,4
41,floor4,fantasy_world_autofloor_41,5,5,4
42,floor4,fantasy_world_autofloor_42,6,6,4
43,floor4,fantasy_world_autofloor_43,7,7,4
44,floor4,fantasy_world_autofloor_44,8,8,4
45,floor5,fantasy_world_autofloor_45,0,0,5
46,floor5,fantasy_world_autofloor_46,1,1,5
47,floor5,fantasy_world_autofloor_47,2,2,5
48,floor5,fantasy_world_autofloor_48,3,3,5
49,floor5,fantasy_world_autofloor_49,4,4,5
50,floor5,fantasy_world_autofloor_50,5,5,5
51,floor5,fantasy_world_autofloor_51,6,6,5
52,floor5,fantasy_world_autofloor_52,7,7,5
53,floor5,fantasy_world_autofloor_53,8,8,5
54,floor6,fantasy_world_autofloor_54,0,0,6
55,floor6,fantasy_world_autofloor_55,1,1,6
56,floor6,fantasy_world_autofloor_56,2,2,6
57,floor6,fantasy_world_autofloor_57,3,3,6
58,floor6,fantasy_world_autofloor_58,4,4,6
59,floor6,fantasy_world_autofloor_59,5,5,6
60,floor6,fantasy_world_autofloor_60,6,6,6
61,floor6,fantasy_world_autofloor_61,7,7,6
62,floor6,fantasy_world_autofloor_62,8,8,6
63,floor7,fantasy_world_autofloor_63,0,0,7
64,floor7,fantasy_world_autofloor_64,1,1,7
65,floor7,fantasy_world_autofloor_65,2,2,7
66,floor7,fantasy_world_autofloor_66,3,3,7
67,floor7,fantasy_world_autofloor_67,4,4,7
68,floor7,fantasy_world_autofloor_68,5,5,7
69,floor7,fantasy_world_autofloor_69,6,6,7
70,floor7,fantasy_world_autofloor_70,7,7,7
71,floor7,fantasy_world_autofloor_71,8,8,7
72,floor8,fantasy_world_autofloor_72,0,0,8
73,floor8,fantasy_world_autofloor_73,1,1,8
74,floor8,fantasy_world_autofloor_74,2,2,8
75,floor8,fantasy_world_autofloor_75,3,3,8
76,floor8,fantasy_world_autofloor_76,4,4,8
77,floor8,fantasy_world_autofloor_77,5,5,8
78,floor8,fantasy_world_autofloor_78,6,6,8
79,floor8,fantasy_world_autofloor_79,7,7,8
80,floor8,fantasy_world_autofloor_80,8,8,8
81,floor9,fantasy_world_autofloor_81,0,0,9
82,floor9,fantasy_world_autofloor_82,1,1,9
83,floor9,fantasy_world_autofloor_83,2,2,9
84,floor9,fantasy_world_autofloor_84,3,3,9
85,floor9,fantasy_world_autofloor_85,4,4,9
86,floor9,fantasy_world_autofloor_86,5,5,9
87,floor9,fantasy_world_autofloor_87,6,6,9
88,floor9,fantasy_world_autofloor_88,7,7,9
89,floor9,fantasy_world_autofloor_89,8,8,9
90,floor10,fantasy_world_autofloor_90,0,0,10
91,floor10,fantasy_world_autofloor_91,1,1,10
92,floor10,fantasy_world_autofloor_92,2,2,10
93,floor10,fantasy_world_autofloor_93,3,3,10
94,floor10,fantasy_world_autofloor_94,4,4,10
95,floor10,fantasy_world_autofloor_95,5,5,10
96,floor10,fantasy_world_autofloor_96,6,6,10
97,floor10,fantasy_world_autofloor_97,7,7,10
98,floor10,fantasy_world_autofloor_98,8,8,10
99,floor11,fantasy_world_autofloor_99,0,0,11
100,floor11,fantasy_world_autofloor_100,1,1,11
101,floor11,fantasy_world_autofloor_101,2,2,11
102,floor11,fantasy_world_autofloor_102,3,3,11
103,floor11,fantasy_world_autofloor_103,4,4,11
104,floor11,fantasy_world_autofloor_104,5,5,11
105,floor11,fantasy_world_autofloor_105,6,6,11
106,floor11,fantasy_world_autofloor_106,7,7,11
107,floor11,fantasy_world_autofloor_107,8,8,11
108,floor12,fantasy_world_autofloor_108,0,0,12
109,floor12,fantasy_world_autofloor_109,1,1,12
110,floor12,fantasy_world_autofloor_110,2,2,12
111,floor12,fantasy_world_autofloor_111,3,3,12
112,floor12,fantasy_world_autofloor_112,4,4,12
113,floor12,fantasy_world_autofloor_113,5,5,12
114,floor12,fantasy_world_autofloor_114,6,6,12
115,floor12,fantasy_world_autofloor_115,7,7,12
116,floor12,fantasy_world_autofloor_116,8,8,12
117,floor13,fantasy_world_autofloor_117,0,0,13
118,floor13,fantasy_world_autofloor_118,1,1,13
119,floor13,fantasy_world_autofloor_119,2,2,13
120,floor13,fantasy_world_autofloor_120,3,3,13
121,floor13,fantasy_world_autofloor_121,4,4,13
122,floor13,fantasy_world_autofloor_122,5,5,13
123,floor13,fantasy_world_autofloor_123,6,6,13
124,floor13,fantasy_world_autofloor_124,7,7,13
125,floor13,fantasy_world_autofloor_125,8,8,13
126,floor14,fantasy_world_autofloor_126,0,0,14
127,floor14,fantasy_world_autofloor_127,1,1,14
128,floor14,fantasy_world_autofloor_128,2,2,14
129,floor14,fantasy_world_autofloor_129,3,3,14
130,floor14,fantasy_world_autofloor_130,4,4,14
131,floor14,fantasy_world_autofloor_131,5,5,14
132,floor14,fantasy_world_autofloor_132,6,6,14
133,floor14,fantasy_world_autofloor_133,7,7,14
134,floor14,fantasy_world_autofloor_134,8,8,14
135,floor15,fantasy_world_autofloor_135,0,0,15
136,floor15,fantasy_world_autofloor_136,1,1,15
137,floor15,fantasy_world_autofloor_137,2,2,15
138,floor15,fantasy_world_autofloor_138,3,3,15
139,floor15,fantasy_world_autofloor_139,4,4,15
140,floor15,fantasy_world_autofloor_140,5,5,15
141,floor15,fantasy_world_autofloor_141,6,6,15
142,floor15,fantasy_world_autofloor_142,7,7,15
143,floor15,fantasy_world_autofloor_143,8,8,15
144,floor16,fantasy_world_autofloor_144,0,0,16
145,floor16,fantasy_world_autofloor_145,1,1,16
146,floor16,fantasy_world_autofloor_146,2,2,16
147,floor16,fantasy_world_autofloor_147,3,3,16
148,floor16,fantasy_world_autofloor_148,4,4,16
149,floor16,fantasy_world_autofloor_149,5,5,16
150,floor16,fantasy_world_autofloor_150,6,6,16
151,floor16,fantasy_world_autofloor_151,7,7,16
152,floor16,fantasy_world_autofloor_152,8,8,16
153,floor17,fantasy_world_autofloor_153,0,0,17
154,floor17,fantasy_world_autofloor_154,1,1,17
155,floor17,fantasy_world_autofloor_155,2,2,17
156,floor17,fantasy_world_autofloor_156,3,3,17
157,floor17,fantasy_world_autofloor_157,4,4,17
158,floor17,fantasy_world_autofloor_158,5,5,17
159,floor17,fantasy_world_autofloor_159,6,6,17
160,floor17,fantasy_world_autofloor_160,7,7,17
161,floor17,fantasy_world_autofloor_161,8,8,17
162,floor18,fantasy_world_autofloor_162,0,0,18
163,floor18,fantasy_world_autofloor_163,1,1,18
164,floor18,fantasy_world_autofloor_164,2,2,18
165,floor18,fantasy_world_autofloor_165,3,3,18
166,floor18,fantasy_world_autofloor_166,4,4,18
167,floor18,fantasy_world_autofloor_167,5,5,18
168,floor18,fantasy_world_autofloor_168,6,6,18
169,floor18,fantasy_world_autofloor_169,7,7,18
170,floor18,fantasy_world_autofloor_170,8,8,18
171,floor19,fantasy_world_autofloor_171,0,0,19
172,floor19,fantasy_world_autofloor_172,1,1,19
173,floor19,fantasy_world_autofloor_173,2,2,19
174,floor19,fantasy_world_autofloor_174,3,3,19
175,floor19,fantasy_world_autofloor_175,4,4,19
176,floor19,fantasy_world_autofloor_176,5,5,19
177,floor19,fantasy_world_autofloor_177,6,6,19
178,floor19,fantasy_world_autofloor_178,7,7,19
179,floor19,fantasy_world_autofloor_179,8,8,19
180,floor20,fantasy_world_autofloor_180,0,0,20
181,floor20,fantasy_world_autofloor_181,1,1,20
182,floor20,fantasy_world_autofloor_182,2,2,20
183,floor20,fantasy_world_autofloor_183,3,3,20
184,floor20,fantasy_world_autofloor_184,4,4,20
185,floor20,fantasy_world_autofloor_185,5,5,20
186,floor20,fantasy_world_autofloor_186,6,6,20
187,floor20,fantasy_world_autofloor_187,7,7,20
188,floor20,fantasy_world_autofloor_188,8,8,20
189,floor21,fantasy_world_autofloor_189,0,0,21
190,floor21,fantasy_world_autofloor_190,1,1,21
191,floor21,fantasy_world_autofloor_191,2,2,21
192,floor21,fantasy_world_autofloor_192,3,3,21
193,floor21,fantasy_world_autofloor_193,4,4,21
194,floor21,fantasy_world_autofloor_194,5,5,21
195,floor21,fantasy_world_autofloor_195,6,6,21
196,floor21,fantasy_world_autofloor_196,7,7,21
197,floor21,fantasy_world_autofloor_197,8,8,21
